Image,CNN IoU,Hough IoU
0,0.9086649986635342,0.9215999999999998
1,0.8948700222400043,0.832256078793475
2,0.9239115147022687,0.925656635446425
3,0.9053939650392329,0.9527701130481971
4,0.918967030390547,0
5,0.9081983004045358,0.9500080115366132
6,0.9072779548190244,0.8711111111111114
7,0.9384765625000007,0.898546006944445
8,0.5911077107366575,0.7785467128027683
9,0.7375778546712803,0.9485130794114791
10,0.7954711468224981,0.8264462809917359
11,0.884348497120071,0.8789062500000001
12,0.9245989648414921,0.916088634675093
13,0.8559938057244283,0.7739762096230315
14,0.9111570247933882,0
15,0.9380330131402146,0.9384765625000007
16,0.9639669421487608,0.9098732946909792
17,0.910728664963995,0.9384765624999999
18,0.8978969890478029,0.8483379501385042
19,0.9091400757166033,0.8143961927424151
20,0.8858131487889266,0.9264062500000004
21,0.9683127177402651,0.9683127177402648
22,0.953877383627001,0.8919753086419757
23,0.9130269141770317,0.8336483931947071
24,0.9360540369813393,0.9680020811654525
25,0.975173437858883,0
26,0.8559938057244286,0.6049382716049388
27,0.7938945356352702,0.03777666873650413
28,0.949980153477416,0.9094756656586647
29,0.964999740002683,0.9506250000000002
30,0.8519181362245078,0.7954711468224981
31,0.8402777777777779,0.8402777777777779
32,0.8202909252406482,0.8919753086419752
33,0.6214989344963991,0.039395481780602454
34,0.8171283429008381,0.7225
35,0.80843621030095,0
36,0.8261162352340249,0.8547525809896762
37,0.82933329346564,0.6740462343999317
38,0.940173986518843,0
39,0.882168362334466,0.9384765624999999
40,0.7443153105496333,0.6553287981859414
41,0.8158168574401662,0.003551191966814746
42,0.8143961927424154,0.8556250000000004
43,0.8741094889399584,0.8100000000000004
44,0.7687325170480496,0.8993242106489052
45,0.9639464598831111,0
46,0.9652035577496617,0.8975069252077561
47,0.9307225190550694,0.9403122130394861
48,0.6848989298454219,0.8456276241032809
49,0.858496267130111,0.8707013796690258
50,0.7838866572563167,0.923162740434169
51,0.9587673611111114,0.8835999999999998
52,0.9358459357277886,0.9512619463657989
53,0.7777056139327788,0.8919753086419749
54,0.46932784516173426,0.7131918140311296
55,0.777430868426734,0.8858131487889277
56,0.9322235434007133,0.9540292049756622
57,0.8770471151423536,0.9355012093523247
58,0.9517604288624789,0.9375157470395566
59,0.9255569253180544,0
60,0.9658386290615031,0.881766805472933
61,0.8038049940546967,0.8622448979591836
62,0.8387497198708013,0
63,0.9121323065269535,0
64,0.9137110726643602,0.948351297172332
65,0.8932061136662596,0.921680460854981
66,0.9529478458049884,0.8336483931947073
67,0.8062780374802008,0.8212890625
68,0.9537070334217892,0.8339109905299356
69,0.9177303413079007,0.9375157470395566
70,0.8289151258632212,0
71,0.9358459357277886,0
72,0.879873932391078,0.9055671175858478
73,0.6264161229580255,0
74,0.9706973376839326,0
75,1.0,0
76,0.9290721819956382,0.9690087641658839
77,0.7293447713254156,0.0400435382369143
78,0.955561166519379,0
79,0.9774018595041319,0.9238634553024488
80,0.9024999999999997,0.9024999999999997
81,0.8138234301904034,0.9091400757166035
82,0.9055671175858483,0.9669444444444443
83,0.9596001665972512,0
84,0.73469387755102,0.08688704560484596
85,0.973740864879909,0
86,0.7243096423721138,0.9312192237496687
87,0.8904979170799441,0.931713169929612
88,0.9220450257647456,0.9432789616005195
89,0.9100482396397389,0.9127770858203726
90,0.9208785890912143,0.9347081309046528
91,0.46468444217902966,0.700601647902074
92,0.8577738832274502,0
93,0.9197585790370353,0
94,0.956994328922495,0.9502063630953893
95,0.8538439559316697,0
96,0.8955478951063792,0
97,0.8594835069444449,0.9454633009974591
98,0.9710699030110821,0.9332105205877982
99,0.852319447564489,0.9271325759505199
100,0.9125511112941016,0.9420415224913501
101,0.9048042374979588,0.9310557094490608
102,0.8698262443377209,0.939934667554339
103,0.7901234567901236,0.8815801246513236
104,0.8456276241032806,0.9205933850576711
105,0.8984953113001711,0.9322235434007129
106,0.551138598066061,0.8099999999999992
107,0.8488827168286831,0.9337204898371416
108,0.9016277086241319,0.87890625
109,0.9245562130177523,0.9521466997355295
110,0.8338324315657437,0
111,0.9365244536940684,0.9354503170277058
112,0.8863415480073359,0.9752667344185346
113,0.9589352527679722,0.9538866822439903
114,0.9335337349013763,0.9584582529653081
115,0.9248495132526635,0
116,0.7210466890185673,0.941950380168308
117,0.929812255037596,0.8556250000000005
118,0.9790581717451521,0
119,0.9101673600299145,0.8975069252077557
120,0.9387802536532645,0.8355037906928157
121,0.9041134393061214,0.8264462809917351
122,0.9259522961908152,0.8919753086419757
123,0.9003295415726309,0.8379058186334727
124,0.7415123456790124,0.8313148788927339
125,0.9434969668230241,0
126,0.9748437750360522,0
127,0.945216049382716,0.844016473522735
128,0.8099999999999995,0.7901234567901235
129,0.9038582245977302,0.887943786982249
130,0.896471131980442,0.9301847050423089
131,0.9361638855314873,0.9626601837777775
132,0.8801147837177172,0.9408999999999997
133,0.861710482980984,0.948626701764088
134,0.7676418928874371,0.8038049940546963
135,0.9774882828618319,0.9008905486929042
136,0.9440201928706133,0.8975069252077557
137,0.8823147689819505,0.8622448979591834
138,0.9727903921936569,0
139,0.927501502810217,0.9333826226839403
140,0.9542995398994117,0
141,0.9564445485491474,0.945216049382716
142,0.8922947599589606,0.8530402839308484
